"year","month","anch_eggs_10m2","sard_eggs_10m2"
1990,6,NA,NA
1990,7,0,1.35982142857143
1990,8,15.9955862702703,157.767140540541
1990,9,NA,NA
1990,10,NA,NA
1990,11,11.8207575757576,4.01939393939394
1990,12,NA,NA
1991,1,234.577400934426,16.6349180327869
1991,2,626.944793272727,0.41
1991,3,147.5899375,201.439536666667
1991,4,NA,NA
1991,5,NA,NA
1991,6,NA,NA
1991,7,2.03278448484848,14.0393939393939
1991,8,0,16.9740625
1991,9,0.831666666666667,0
1991,10,9.4998,3.0562
1991,11,NA,NA
1991,12,NA,NA
1992,1,7.31428571428571,0
1992,2,20.1233903043478,78.4497826086957
1992,3,NA,NA
1992,4,265.599230769231,19.7490769230769
1992,5,NA,NA
1992,6,NA,NA
1992,7,0.645712787878788,26.7879241818182
1992,8,NA,NA
1992,9,0,0
1992,10,1.85397062790698,0
1992,11,NA,NA
1992,12,NA,NA
1993,1,58.368112969697,0
1993,2,NA,NA
1993,3,4.63714285714286,504.105714285714
1993,4,62.9277966101695,5.46322033898305
1993,5,NA,NA
1993,6,NA,NA
1993,7,NA,NA
1993,8,6.16974620769231,15.8409152
1993,9,NA,NA
1993,10,154.281363636364,0
1993,11,NA,NA
1993,12,NA,NA
1994,1,129.005,13.937380952381
1994,2,167.04982,2.9904347826087
1994,3,262.887972972973,134.549517027027
1994,4,100.391891891892,13.2989189189189
1994,5,8.5590625,18.2531099375
1994,6,NA,NA
1994,7,NA,NA
1994,8,24.6228470757576,3.12687242424242
1994,9,11.14,0
1994,10,9.98896083870968,0.985967741935484
1994,11,NA,NA
1994,12,NA,NA
1995,1,69.5659375,0
1995,2,NA,NA
1995,3,NA,NA
1995,4,556.449601672727,79.9511087454545
1995,5,NA,NA
1995,6,NA,NA
1995,7,65.1768521212121,0.387878787878788
1995,8,NA,NA
1995,9,NA,NA
1995,10,76.5454012121212,0.053030303030303
1995,11,NA,NA
1995,12,NA,NA
1996,1,331.7127,189.527585722222
1996,2,561.693663928571,96.4027467857143
1996,3,NA,NA
1996,4,46.5925910357143,58.4787315178571
1996,5,0,13.91213425
1996,6,NA,NA
1996,7,NA,NA
1996,8,13.2366666666667,1.54014575757576
1996,9,NA,NA
1996,10,24.7819663833333,0
1996,11,0,0
1996,12,NA,NA
1997,1,0,26.0021554545455
1997,2,188.967736636364,5.12078758181818
1997,3,NA,NA
1997,4,948.236877419355,135.940058080645
1997,5,NA,NA
1997,6,NA,NA
1997,7,3.32247384848485,0
1997,8,NA,NA
1997,9,14.3890035454545,0.424545454545455
1997,10,3.20642857142857,0.256428571428571
1997,11,NA,NA
1997,12,11.9975,3.645
1998,1,53.1713888888889,6.25277777777778
1998,2,37.3833333333333,0
1998,3,122.533636363636,306.906045454545
1998,4,106.375538461538,194.271261538462
1998,5,0,0
1998,6,35.601,70.6715
1998,7,17.7198683333333,0
1998,8,87.9238888888889,0
1998,9,60.5366666666667,0
1998,10,19.741875,0
1998,11,634.164666666667,0.254
1998,12,0,0
1999,1,133.102208446154,0
1999,2,NA,NA
1999,3,NA,NA
1999,4,106.007910270492,350.465848622951
1999,5,NA,NA
1999,6,NA,NA
1999,7,NA,NA
1999,8,43.8832922063492,1.46444444444444
1999,9,NA,NA
1999,10,13.9001270923077,0
1999,11,NA,NA
1999,12,NA,NA
2000,1,7.81212121212121,0
2000,2,NA,NA
2000,3,NA,NA
2000,4,282.120993469697,243.644978310606
2000,5,NA,NA
2000,6,0,0
2000,7,43.2673210862069,0
2000,8,NA,NA
2000,9,NA,NA
2000,10,18.2554910625,0
2000,11,NA,NA
2000,12,NA,NA
2001,1,139.651111111111,0
2001,2,NA,NA
2001,3,NA,NA
2001,4,606.139606415385,101.8941354
2001,5,NA,NA
2001,6,NA,NA
2001,7,47.5326858484848,3.77424242424242
2001,8,NA,NA
